,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],MI_Objective,grammar_complexity,Language,Area,LangCategory
10101,0,1,0,2,3,3,3,3,2,0.19820921008573644,1.2770602791839887,0.8806418590125158,2___2___4,simulated,simulated,simulated
7907,0,1,0,2,3,3,3,1,0,0.19820814310134072,1.2717540049190657,0.8753377187163842,2___2___4,simulated,simulated,simulated
5889,0,0,1,1,2,2,3,2,3,0.19818739476713287,1.1130319507574693,0.7166571612232036,2___2___4,simulated,simulated,simulated
5255,0,1,2,0,1,0,0,3,3,0.19818118021414155,0.8723563597712622,0.47599399934297915,2___3___4,simulated,simulated,simulated
3733,0,0,1,0,1,2,3,2,1,0.1981755856397206,0.8179703196688072,0.421619148389366,2___3___4,simulated,simulated,simulated
9331,0,1,1,2,3,0,2,0,2,0.19817427683924382,1.2279019668647009,0.8315534131862132,2___2___4,simulated,simulated,simulated
11828,0,1,2,3,0,3,0,3,4,0.1981692961448951,1.173415683139726,0.7770770908499358,2___2___5,simulated,simulated,simulated
3378,0,1,0,0,1,2,3,1,1,0.19816432051593547,0.9058099439453554,0.5094813029134845,2___3___4,simulated,simulated,simulated
10819,0,1,1,2,3,0,1,3,2,0.19815593740537052,1.2534113779676996,0.8570995031569586,2___2___4,simulated,simulated,simulated
7237,0,1,1,0,2,0,2,2,3,0.19815592656628844,0.9605751367512778,0.5642632836187009,2___3___4,simulated,simulated,simulated
11784,0,1,0,2,3,4,2,2,2,0.19813884841322604,1.2766679030342056,0.8803902062077535,2___2___5,simulated,simulated,simulated
5984,0,1,2,2,0,2,3,0,2,0.19810457672233284,1.1898959421995547,0.7936867887548891,2___3___4,simulated,simulated,simulated
2633,0,1,2,0,1,2,1,1,0,0.198100029241717,0.890114991326938,0.4939149328435041,2___2___3,simulated,simulated,simulated
3448,0,0,1,2,3,1,2,2,0,0.19809865530167903,1.0723930566336675,0.6761957460303094,2___3___4,simulated,simulated,simulated
5132,0,1,2,3,0,0,0,1,0,0.1980917082095519,1.121149440607907,0.7249660241888032,2___2___4,simulated,simulated,simulated
17890,0,0,0,1,1,1,2,3,4,0.19808009714325403,0.9476812013440609,0.5515210070575528,2___1___5,simulated,simulated,simulated
6854,0,1,0,0,1,2,3,2,0,0.19807902812874645,0.9405034381064088,0.5443453818489159,2___2___4,simulated,simulated,simulated
10922,0,1,2,2,3,3,1,3,2,0.19807853590514646,1.298538373706435,0.9023813018961422,2___3___4,simulated,simulated,simulated
6601,0,1,2,0,3,1,0,0,0,0.19807114749622468,0.9296954255019136,0.5335531305094643,2___2___4,simulated,simulated,simulated
