,place,goal,source,real,simulated,optimal,real_sd,simulated_sd,optimal_sd,real_minus_opt_resid,real_minus_opt_resid_sq,real_minus_sim_resid,real_minus_sim_resid_sq,dist_to_hull,dist_to_hull_sq,prior_spec,mu,gamma
0,0,0.263157895,1.315789474,0.80412173,0.733529559,0,0.199362595,0.145728697,0,0,0,-16.65875315,4.770175451,4.199905021,0.156508085,source_goal_place,0.3,2
0,0,-0.263157895,-1.315789474,0.80412173,0.733529559,0,0.199362595,0.145728697,0,0,0,-16.65875315,4.770175451,4.199905211,0.156508085,source_goal_place,0.3,2
0,0,0.789473684,1.315789474,0.917052084,0.819958659,0,0.241274209,0.171099247,0,0,0,-10.24219714,8.28092151,4.215850112,0.154380598,source_goal_place,0.3,2
0,0,-0.789473684,-1.315789474,0.917052084,0.819958659,0,0.241274209,0.171099247,0,0,0,-10.24219714,8.28092151,4.215850154,0.154380598,source_goal_place,0.3,2
0,0,-0.263157895,-0.789473684,0.957227221,0.851502105,0,0.256053036,0.173113443,0,0,0,-7.683774192,10.97860373,4.219125602,0.160796195,place_source_goal,0.3,2
0,0,0.263157895,0.789473684,0.957227221,0.851502105,0,0.256053036,0.173113443,0,0,0,-7.683774192,10.97860373,4.219126397,0.160796195,place_source_goal,0.3,2
0,0,0.263157895,0.789473684,0.961523328,0.847471764,0,0.252437528,0.172464305,0,0,0,-6.118096287,10.2485889,4.231811945,0.166873614,goal_source_place,0.3,2
0,0,-0.263157895,-0.789473684,0.961523328,0.847471764,0,0.252437528,0.172464305,0,0,0,-6.118096287,10.2485889,4.231812012,0.166873614,goal_source_place,0.3,2
0,0,-0.789473684,-2.368421053,0.290293254,0.382983132,0,0.127085165,0.119415232,0,0,0,-23.58054759,5.724646347,6.171982708,0.498175046,place_goal_source,0.2,2
0,0,0.789473684,2.368421053,0.290293254,0.382983132,0,0.127085165,0.119415232,0,0,0,-23.58054759,5.724646347,6.171982603,0.498175046,place_goal_source,0.2,2
0,0,-1.315789474,-0.789473684,0.879878742,0.783389088,0,0.21678293,0.158585349,0,0,0,-12.22756149,5.383499777,4.271687236,0.145864116,place_source_goal,0.3,2
0,0,1.315789474,0.789473684,0.879878742,0.783389088,0,0.21678293,0.158585349,0,0,0,-12.22756149,5.383499777,4.27168728,0.145864116,place_source_goal,0.3,2
0,0,-0.789473684,-2.368421053,0.685213363,0.685819641,0,0.198046772,0.149612876,0,0,0,-26.30089951,7.343759243,4.306870229,0.246548002,goal_place_source,0.3,2
0,0,0.789473684,2.368421053,0.685213363,0.685819641,0,0.198046772,0.149612876,0,0,0,-26.30089951,7.343759243,4.306870364,0.246548002,goal_place_source,0.3,2
0,0,-0.263157895,0.789473684,0.922849548,0.865861124,0,0.293589004,0.183529357,0,0,0,-13.06071425,16.76677352,4.308590452,0.187555436,goal_place_source,0.3,2
0,0,0.263157895,-0.789473684,0.922849548,0.865861124,0,0.293589004,0.183529357,0,0,0,-13.06071425,16.76677352,4.308590529,0.187555436,goal_place_source,0.3,2
0,0,-0.789473684,1.842105263,0.639589567,0.65327125,0,0.188450138,0.149936952,0,0,0,-23.18220685,7.233179778,5.484446529,0.443378471,place_goal_source,0.3,2
0,0,0.789473684,-1.842105263,0.639589567,0.65327125,0,0.188450138,0.149936952,0,0,0,-23.18220685,7.233179778,5.484445992,0.443378471,place_goal_source,0.3,2
0,0,0.789473684,-0.789473684,0.82967145,0.781076662,0,0.233987661,0.157787902,0,0,0,-23.14280398,7.526587819,2.270526195,0.05069357,place_goal_source,0.3,2
0,0,-0.789473684,0.789473684,0.82967145,0.781076662,0,0.233987661,0.157787902,0,0,0,-23.14280398,7.526587819,2.270526342,0.05069357,place_goal_source,0.3,2
0,0,-0.263157895,-1.315789474,0.88787524,0.845221834,0,0.283907624,0.181208887,0,0,0,-16.27041808,15.68203186,4.313869636,0.202981935,goal_place_source,0.3,2
0,0,0.263157895,1.315789474,0.88787524,0.845221834,0,0.283907624,0.181208887,0,0,0,-16.27041808,15.68203186,4.313869838,0.202981935,goal_place_source,0.3,2
0,0,0.789473684,-1.315789474,-0.16640703,0.003780925,0,0.055464043,0.092608815,0,0,0,-22.66701239,3.651399898,4.936796332,0.256442481,place_goal_source,0.1,2
0,0,-0.789473684,1.315789474,-0.16640703,0.003780925,0,0.055464043,0.092608815,0,0,0,-22.66701239,3.651399898,4.936796269,0.256442481,place_goal_source,0.1,2
0,0,-0.263157895,-0.789473684,0.964749866,0.895038316,0,0.306343542,0.188294933,0,0,0,-7.135270645,18.88963533,4.361406351,0.181948826,goal_place_source,0.3,2
0,0,0.263157895,0.789473684,0.964749866,0.895038316,0,0.306343542,0.188294933,0,0,0,-7.135270645,18.88963533,4.361406444,0.181948826,goal_place_source,0.3,2
0,0,-0.263157895,-0.789473684,0.97862579,0.874777307,0,0.272958268,0.180498156,0,0,0,-4.663919975,13.4046552,4.361874538,0.173011623,source_place_goal,0.3,2
0,0,0.263157895,0.789473684,0.97862579,0.874777307,0,0.272958268,0.180498156,0,0,0,-4.663919975,13.4046552,4.361874538,0.173011623,source_place_goal,0.3,2
0,0,0,-0.789473684,0.924199764,0.820269288,0,0.238917678,0.16581831,0,0,0,-10.77348551,8.347707203,4.36930912,0.178392208,goal_source_place,0.3,2
0,0,-1.315789474,-2.368421053,-0.340337067,-0.173115663,0,0.091929583,0.095332238,0,0,0,-13.37405097,0.983928674,4.377953516,0.236085647,source_goal_place,0.1,2
0,0,1.315789474,2.368421053,-0.340337067,-0.173115663,0,0.091929583,0.095332238,0,0,0,-13.37405097,0.983928674,4.377953618,0.236085647,source_goal_place,0.1,2
0,0,0.263157895,0.789473684,0.977124655,0.86439914,0,0.266101652,0.178616109,0,0,0,-3.850838721,12.18208933,4.378690977,0.178906689,source_goal_place,0.3,2
0,0,-0.263157895,-0.789473684,0.977124655,0.86439914,0,0.266101652,0.178616109,0,0,0,-3.850838721,12.18208933,4.37869203,0.178906689,source_goal_place,0.3,2
0,0,-0.263157895,0.263157895,0.982622981,0.904926974,0,0.311871516,0.190207783,0,0,0,-3.245247731,19.97260122,4.408608183,0.190369747,goal_place_source,0.3,2
0,0,0.263157895,-0.263157895,0.982622981,0.904926974,0,0.311871516,0.190207783,0,0,0,-3.245247731,19.97260122,4.408608255,0.190369747,goal_place_source,0.3,2
0,0,-0.789473684,-2.368421053,0.654730916,0.659662922,0,0.191841512,0.149238672,0,0,0,-22.45165946,6.897678621,4.88982039,0.336777008,place_goal_source,0.3,2
0,0,0.789473684,2.368421053,0.654730916,0.659662922,0,0.191841512,0.149238672,0,0,0,-22.45165946,6.897678621,4.889820393,0.336777008,place_goal_source,0.3,2
0,0,0,-0.789473684,0.92782778,0.831593335,0,0.246241332,0.167686501,0,0,0,-11.43303921,9.703314282,4.420028374,0.1793924,place_source_goal,0.3,2
0,0,-0.263157895,-1.315789474,0.783406879,0.714396471,0,0.187847596,0.140672406,0,0,0,-14.47155693,4.194757857,4.436093595,0.169117485,goal_source_place,0.3,2
0,0,0.263157895,1.315789474,0.783406879,0.714396471,0,0.187847596,0.140672406,0,0,0,-14.47155693,4.194757857,4.436093793,0.169117485,goal_source_place,0.3,2
0,0,0.263157895,-0.263157895,1.005229112,0.892091897,0,0.283087682,0.185288222,0,0,0,1.216805094,15.53831758,4.446395733,0.184029656,source_place_goal,0.3,2
0,0,-0.263157895,0.263157895,1.005229112,0.892091897,0,0.283087682,0.185288222,0,0,0,1.216805094,15.53831758,4.446395796,0.184029656,source_place_goal,0.3,2
0,0,0.789473684,1.315789474,0.470415031,0.486326136,0,0.137010039,0.106575598,0,0,0,-14.93431513,3.621384678,4.450905097,0.187586178,place_source_goal,0.2,2
0,0,-0.789473684,-1.315789474,0.470415031,0.486326136,0,0.137010039,0.106575598,0,0,0,-14.93431513,3.621384678,4.450905118,0.187586178,place_source_goal,0.2,2
0,0,-0.263157895,-1.315789474,0.820572281,0.756667967,0,0.213227408,0.149552091,0,0,0,-17.23364852,6.38468537,4.451461618,0.180301298,source_place_goal,0.3,2
0,0,0.263157895,1.315789474,0.820572281,0.756667967,0,0.213227408,0.149552091,0,0,0,-17.23364852,6.38468537,4.45146166,0.180301298,source_place_goal,0.3,2
