,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],MI_Objective,grammar_complexity,Language,Area,LangCategory
9935,0,0,1,0,2,2,3,3,1,0.37397972258562295,1.1432303128314936,0.39527086766024766,2___3___4,simulated,simulated,simulated
18359,0,1,2,3,0,4,1,5,4,0.37397708481127845,1.5628918981711384,0.8149377285485815,2___2___6,simulated,simulated,simulated
18671,0,1,0,2,3,4,4,5,0,0.3738456458075503,1.6640520155436755,0.9163607239285749,2___2___6,simulated,simulated,simulated
13177,0,1,2,0,3,1,4,1,4,0.37383410774363535,1.3616168383048834,0.6139486228176128,2___3___5,simulated,simulated,simulated
20077,0,1,0,2,3,4,3,5,5,0.37382723631045756,1.617719744113164,0.870065271492249,2___1___6,simulated,simulated,simulated
18636,0,1,1,2,3,2,3,4,5,0.37382723631045756,1.617719744113164,0.870065271492249,2___1___6,simulated,simulated,simulated
18694,0,1,2,3,4,3,4,5,5,0.37382723631045733,1.6177197441131643,0.8700652714922497,2___1___6,simulated,simulated,simulated
19994,0,1,1,2,3,4,3,4,5,0.3738163437261437,1.6456273673674167,0.8979946799151293,2___1___6,simulated,simulated,simulated
18795,0,1,2,3,4,5,2,2,3,0.373776091048583,1.5788552895114198,0.8313031074142538,2___1___6,simulated,simulated,simulated
19490,0,1,2,3,0,4,5,5,3,0.3736654559357431,1.510733727931791,0.7634028160603048,2___1___6,simulated,simulated,simulated
15794,0,1,2,3,2,0,4,2,2,0.3736612474064751,1.5578804844829257,0.8105579896699755,2___3___5,simulated,simulated,simulated
18473,0,1,2,3,4,2,0,2,5,0.37364880759462293,1.5194287294042357,0.7721311142149898,2___3___6,simulated,simulated,simulated
7132,0,0,1,2,2,2,3,3,1,0.373635681157088,1.2727416390338027,0.5254702767196266,2___2___4,simulated,simulated,simulated
14924,0,1,2,2,1,3,4,4,2,0.37359849341704443,1.4660476939969564,0.7188507071628676,2___3___5,simulated,simulated,simulated
20282,0,1,2,0,3,4,2,3,5,0.373595505706543,1.454806775467473,0.707615764054387,2___3___6,simulated,simulated,simulated
11043,0,1,2,0,2,1,3,3,1,0.3735850998063861,1.268142924868644,0.5209727252558718,2___3___4,simulated,simulated,simulated
17645,0,1,2,2,1,0,3,4,1,0.37353909097564,1.556832165435207,0.8097539834839271,2___2___5,simulated,simulated,simulated
5451,0,0,0,1,0,0,2,3,3,0.3735364644696262,1.2721715808357372,0.5250986518964849,3___2___4,simulated,simulated,simulated
11060,0,0,1,1,1,0,2,3,4,0.37351114241703987,1.3887625478054457,0.641740262971366,2___1___5,simulated,simulated,simulated
19894,0,1,2,3,0,0,4,5,3,0.3734928047452928,1.57885528951142,0.8318696800208345,2___1___6,simulated,simulated,simulated
