,Unnamed: 0,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],Language,Area,dist_to_hull,r patterns,theta patterns
156,156,0,1,0,0,1,0,0,0,0,0.08016776574662776,0.5363212319646727,simulated157,simulated,0.09771320516034183,2.0,2.0
157,157,0,1,0,0,0,1,1,0,1,0.0658367554002075,0.5757347926135653,simulated158,simulated,0.12427294198983052,2.0,2.0
158,158,0,1,1,0,0,1,1,0,1,0.11657749609916035,0.6323829809688517,simulated159,simulated,0.09459329922006808,3.0,3.0
159,159,0,1,1,0,0,0,1,1,0,0.12204685400664572,0.6256412083604463,simulated160,simulated,0.08737810775852001,3.0,3.0
160,160,0,1,0,0,1,1,0,1,1,0.10552293871583553,0.5909658481587508,simulated161,simulated,0.09186663229296367,2.0,2.0
161,161,0,0,0,0,1,1,1,0,0,0.055878893034653536,0.4428164032116561,simulated162,simulated,0.08965387871290031,2.0,2.0
162,162,0,1,1,0,1,1,0,1,0,0.15511912423924268,0.638949066276816,simulated163,simulated,0.0597040254466827,2.0,2.0
163,163,0,0,0,0,0,1,1,1,0,0.04686973308023906,0.3591009397843037,simulated164,simulated,0.07043298396748715,2.0,2.0
164,164,0,0,1,1,1,0,0,1,1,0.14567215526092306,0.6431544979511228,simulated165,simulated,0.06997903090285744,2.0,2.0
165,165,0,0,0,0,1,0,1,0,1,0.0397148920452447,0.4122288267946736,simulated166,simulated,0.09479210815235084,2.0,2.0
166,166,0,1,1,0,0,0,0,1,0,0.13231138128609876,0.5586582595665202,simulated167,simulated,0.05590184791387881,3.0,3.0
167,167,0,1,1,1,1,0,0,1,1,0.13993710594905429,0.6931087197478264,simulated168,simulated,0.0901981480069483,2.0,2.0
168,168,0,0,0,0,1,1,0,0,0,0.08356447760518149,0.3030166726154672,simulated169,simulated,0.017285674803523908,2.0,2.0
169,169,0,0,0,1,0,1,1,1,0,0.09737090491509283,0.612107951766542,simulated170,simulated,0.10656218386333786,3.0,3.0
170,170,0,1,1,1,1,1,1,1,0,0.1172891691705289,0.6753885670535438,simulated171,simulated,0.10660280643856332,3.0,3.0
171,171,0,0,1,0,0,0,0,1,0,0.07204135569459696,0.2920588645229373,simulated172,simulated,0.02448899932123889,3.0,3.0
172,172,0,0,1,1,1,0,1,0,0,0.10859157897424276,0.6680195960852933,simulated173,simulated,0.1127382998399286,2.0,2.0
173,173,0,1,0,0,0,0,1,1,1,0.08566082534105424,0.5724269921318739,simulated174,simulated,0.10447400244128036,2.0,2.0
174,174,0,0,0,0,1,1,0,1,1,0.07521766198034396,0.3604024942333178,simulated175,simulated,0.04410508218310432,2.0,2.0
175,175,0,0,1,0,0,0,1,0,0,0.06268697412462143,0.3987552786539877,simulated176,simulated,0.0686913242491983,3.0,3.0
176,176,0,0,0,0,1,0,0,0,1,0.05320350366455106,0.259652142144535,simulated177,simulated,0.031625800813118894,3.0,3.0
177,177,0,1,1,0,0,1,0,1,1,0.14907320850404826,0.5895234647887024,simulated178,simulated,0.0502999986417479,2.0,2.0
178,178,0,1,0,1,1,0,1,1,1,0.08815846575005447,0.6928973639841627,simulated179,simulated,0.13960225906258153,3.0,3.0
179,179,0,0,1,0,0,1,1,0,0,0.07042453751637534,0.4403342257573161,simulated180,simulated,0.07512851086168924,2.0,2.0
180,180,0,0,0,1,1,1,1,1,1,0.13619163488443253,0.6609547347083071,simulated181,simulated,0.08428803108525383,1.0,1.0
