Language,uid,deictic_index
"Norwegian (Indo-European, Germanic)",1,7
"Norwegian (Indo-European, Germanic)",1,8
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",1,3
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",0,4
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",0,5
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",1,0
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",0,1
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",0,2
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",1,6
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",0,7
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",0,8
"Old Church Slavonic (Indo-European, Slavic)",3,3
"Old Church Slavonic (Indo-European, Slavic)",6,4
"Old Church Slavonic (Indo-European, Slavic)",0,5
"Old Church Slavonic (Indo-European, Slavic)",5,0
"Old Church Slavonic (Indo-European, Slavic)",8,1
"Old Church Slavonic (Indo-European, Slavic)",2,2
"Old Church Slavonic (Indo-European, Slavic)",4,6
"Old Church Slavonic (Indo-European, Slavic)",7,7
"Old Church Slavonic (Indo-European, Slavic)",1,8
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",0,3
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",1,4
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",1,5
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",0,0
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",1,1
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",1,2
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",0,6
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",1,7
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",1,8
"Pamue (Atlantic-Congo, Bantu)",1,3
"Pamue (Atlantic-Congo, Bantu)",2,4
"Pamue (Atlantic-Congo, Bantu)",0,5
"Pamue (Atlantic-Congo, Bantu)",1,0
"Pamue (Atlantic-Congo, Bantu)",2,1
"Pamue (Atlantic-Congo, Bantu)",0,2
"Pamue (Atlantic-Congo, Bantu)",1,6
"Pamue (Atlantic-Congo, Bantu)",2,7
"Pamue (Atlantic-Congo, Bantu)",0,8
Penange (Dogon),1,3
Penange (Dogon),0,4
Penange (Dogon),0,5
Penange (Dogon),1,0
Penange (Dogon),0,1
Penange (Dogon),0,2
Penange (Dogon),1,6
Penange (Dogon),0,7
Penange (Dogon),0,8
"Polish (Indo-European, Slavic)",3,3
"Polish (Indo-European, Slavic)",2,4
"Polish (Indo-European, Slavic)",2,5
"Polish (Indo-European, Slavic)",3,0
"Polish (Indo-European, Slavic)",2,1
"Polish (Indo-European, Slavic)",2,2
"Polish (Indo-European, Slavic)",0,6
"Polish (Indo-European, Slavic)",1,7
"Polish (Indo-European, Slavic)",1,8
"Portuguese (Indo-European, Romance)",6,3
"Portuguese (Indo-European, Romance)",0,4
"Portuguese (Indo-European, Romance)",1,5
"Portuguese (Indo-European, Romance)",2,0
"Portuguese (Indo-European, Romance)",0,1
